Date,CPI_Index,CPI_Inflation_MoM,CPI_Inflation_YOY,PPI_Index,PPI_Chang_MoM,PPI_Chang_YoY,FX_Interbank_USD,FX_Forex_USD,UVI_Export,UVI_Import,PolicyRate,TBill91d,Oil_Brent_USD,Gold_USD
1/1/2015 0:00,50.7,3.4,16.4,63,-1.4,22.8,3.22,3.32,100,100,21,25.8,49.8,1251.9
2/1/2015 0:00,51.3,1.2,16.5,64.3,2.1,21.8,3.36,3.43,99.9,99.9,21,25.8,50.6,1233
3/1/2015 0:00,51.9,1,16.6,64.9,0.9,19.2,3.59,3.59,99.9,99.7,21,25.6,53,1172.6
4/1/2015 0:00,52.8,1.8,16.8,66.7,2.8,19.5,3.81,3.81,99.8,99.6,21,25.2,60.8,1199.3
5/1/2015 0:00,53.3,1,16.9,67.2,0.7,18.8,3.89,3.94,99.7,99.5,22,25.1,64.7,1213.7
6/1/2015 0:00,54.3,1.8,17.1,70.1,4.4,23.1,4.18,4.23,99.6,99.3,22,25.2,60.7,1182.4
7/1/2015 0:00,55.5,2.3,17.9,69,-1.5,10.2,3.53,3.71,99.6,99.2,22,25.2,56.6,1127.4
8/1/2015 0:00,55.1,-0.7,17.3,66.4,-3.8,3.9,3.86,3.97,99.5,99.1,24,25.2,48,1118.6
9/1/2015 0:00,55,-0.1,17.4,67.8,2.1,4.8,3.78,3.86,99.4,98.9,25,25.3,47.2,1125.7
10/1/2015 0:00,56.5,2.7,17.4,67.4,-0.5,2.9,3.76,3.81,99.3,98.8,25,25.3,50.1,1163.8
11/1/2015 0:00,57.1,1,17.6,66.9,-0.7,3,3.79,3.87,99.3,98.7,26,24.5,46.4,1086
12/1/2015 0:00,57.7,1.1,17.7,70.9,6.1,11,3.79,3.87,99.2,98.5,26,23.1,38.2,1067.2
1/1/2016 0:00,60.4,4.6,19,73.6,3.8,16.9,3.81,3.95,99.1,98.4,26,22.7,32.4,1096.3
2/1/2016 0:00,60.8,0.7,18.5,73.6,0,14.5,3.87,3.99,98.9,98.7,26,22.7,32.1,1198.8
3/1/2016 0:00,61.8,1.7,19.2,74.2,0.8,14.3,3.85,3.93,98.7,99,26,22.6,32.1,1531.4
4/1/2016 0:00,62.7,1.4,18.7,74.1,-0.1,11.2,3.82,3.87,98.4,99.2,26,22.8,32.1,1243.1
